# x	y	u	v	flags	mask
2.3438e-04	7.2656e-03	4.1141e+01	2.1688e+01	0.0000e+00	0.0000e+00
4.6875e-04	7.2656e-03	3.5242e+01	2.1751e+01	0.0000e+00	0.0000e+00
7.0313e-04	7.2656e-03	3.4364e+01	2.1799e+01	0.0000e+00	0.0000e+00
9.3750e-04	7.2656e-03	3.9586e+01	2.3414e+01	0.0000e+00	0.0000e+00
1.1719e-03	7.2656e-03	3.3152e+01	2.2312e+01	1.0000e+00	0.0000e+00
1.4063e-03	7.2656e-03	3.2972e+01	2.2268e+01	1.0000e+00	0.0000e+00
1.6406e-03	7.2656e-03	3.3272e+01	2.2177e+01	0.0000e+00	0.0000e+00
1.8750e-03	7.2656e-03	3.2427e+01	2.2174e+01	1.0000e+00	0.0000e+00
2.1094e-03	7.2656e-03	3.2280e+01	2.1750e+01	0.0000e+00	0.0000e+00
2.3438e-03	7.2656e-03	3.1705e+01	2.2378e+01	1.0000e+00	0.0000e+00
2.5781e-03	7.2656e-03	3.2047e+01	2.2985e+01	0.0000e+00	0.0000e+00
2.8125e-03	7.2656e-03	3.4227e+01	2.4307e+01	0.0000e+00	0.0000e+00
3.0469e-03	7.2656e-03	2.6247e+01	2.3792e+01	0.0000e+00	0.0000e+00
3.2813e-03	7.2656e-03	1.7824e+01	2.1945e+01	0.0000e+00	0.0000e+00
3.5156e-03	7.2656e-03	1.6950e+01	2.2106e+01	1.0000e+00	0.0000e+00
3.7500e-03	7.2656e-03	1.3674e+01	2.1229e+01	0.0000e+00	0.0000e+00
3.9844e-03	7.2656e-03	1.4602e+01	2.1976e+01	0.0000e+00	0.0000e+00
4.2188e-03	7.2656e-03	1.3809e+01	2.1763e+01	1.0000e+00	0.0000e+00
4.4531e-03	7.2656e-03	1.3910e+01	2.1937e+01	0.0000e+00	0.0000e+00
4.6875e-03	7.2656e-03	1.3663e+01	2.1900e+01	0.0000e+00	0.0000e+00
4.9219e-03	7.2656e-03	1.3685e+01	2.2160e+01	0.0000e+00	0.0000e+00
5.1563e-03	7.2656e-03	1.3546e+01	2.1845e+01	1.0000e+00	0.0000e+00
5.3906e-03	7.2656e-03	1.3456e+01	2.1850e+01	1.0000e+00	0.0000e+00
5.6250e-03	7.2656e-03	1.3694e+01	2.2252e+01	0.0000e+00	0.0000e+00
5.8594e-03	7.2656e-03	1.3323e+01	2.1990e+01	0.0000e+00	0.0000e+00
6.0938e-03	7.2656e-03	1.3131e+01	2.1828e+01	1.0000e+00	0.0000e+00
6.3281e-03	7.2656e-03	1.3187e+01	2.1826e+01	0.0000e+00	0.0000e+00
6.5625e-03	7.2656e-03	1.2685e+01	2.1850e+01	0.0000e+00	0.0000e+00
6.7969e-03	7.2656e-03	1.2623e+01	2.1921e+01	0.0000e+00	0.0000e+00
