# x	y	u	v	flags	mask
2.3438e-04	7.2656e-03	4.4114e+01	2.1755e+01	0.0000e+00	0.0000e+00
4.6875e-04	7.2656e-03	4.4324e+01	2.1496e+01	0.0000e+00	0.0000e+00
7.0313e-04	7.2656e-03	4.4292e+01	2.1506e+01	0.0000e+00	0.0000e+00
9.3750e-04	7.2656e-03	4.4418e+01	2.1958e+01	0.0000e+00	0.0000e+00
1.1719e-03	7.2656e-03	4.4380e+01	2.1620e+01	1.0000e+00	0.0000e+00
1.4063e-03	7.2656e-03	4.4381e+01	2.1654e+01	1.0000e+00	0.0000e+00
1.6406e-03	7.2656e-03	4.4304e+01	2.1557e+01	0.0000e+00	0.0000e+00
1.8750e-03	7.2656e-03	4.4355e+01	2.1669e+01	1.0000e+00	0.0000e+00
2.1094e-03	7.2656e-03	4.4144e+01	2.1897e+01	0.0000e+00	0.0000e+00
2.3438e-03	7.2656e-03	4.4204e+01	2.1777e+01	1.0000e+00	0.0000e+00
2.5781e-03	7.2656e-03	4.4000e+01	2.2105e+01	0.0000e+00	0.0000e+00
2.8125e-03	7.2656e-03	4.4025e+01	2.2570e+01	0.0000e+00	0.0000e+00
3.0469e-03	7.2656e-03	4.2684e+01	2.2519e+01	0.0000e+00	0.0000e+00
3.2813e-03	7.2656e-03	4.1222e+01	2.1897e+01	0.0000e+00	0.0000e+00
3.5156e-03	7.2656e-03	3.9007e+01	2.1600e+01	1.0000e+00	0.0000e+00
3.7500e-03	7.2656e-03	3.6460e+01	2.1239e+01	0.0000e+00	0.0000e+00
3.9844e-03	7.2656e-03	3.5223e+01	2.1812e+01	0.0000e+00	0.0000e+00
4.2188e-03	7.2656e-03	3.4101e+01	2.1551e+01	1.0000e+00	0.0000e+00
4.4531e-03	7.2656e-03	3.2940e+01	2.1895e+01	0.0000e+00	0.0000e+00
4.6875e-03	7.2656e-03	3.1815e+01	2.1616e+01	0.0000e+00	0.0000e+00
4.9219e-03	7.2656e-03	3.0977e+01	2.1700e+01	0.0000e+00	0.0000e+00
5.1563e-03	7.2656e-03	3.0196e+01	2.1658e+01	0.0000e+00	0.0000e+00
5.3906e-03	7.2656e-03	2.9490e+01	2.1623e+01	1.0000e+00	0.0000e+00
5.6250e-03	7.2656e-03	2.8790e+01	2.2017e+01	0.0000e+00	0.0000e+00
5.8594e-03	7.2656e-03	2.7967e+01	2.1791e+01	0.0000e+00	0.0000e+00
6.0938e-03	7.2656e-03	2.7553e+01	2.1654e+01	1.0000e+00	0.0000e+00
6.3281e-03	7.2656e-03	2.6937e+01	2.1586e+01	0.0000e+00	0.0000e+00
6.5625e-03	7.2656e-03	2.6447e+01	2.1744e+01	0.0000e+00	0.0000e+00
6.7969e-03	7.2656e-03	2.6091e+01	2.1868e+01	0.0000e+00	0.0000e+00
7.0313e-03	7.2656e-03	2.5960e+01	2.1655e+01	1.0000e+00	0.0000e+00
7.2656e-03	7.2656e-03	2.5802e+01	2.1649e+01	1.0000e+00	0.0000e+00
2.3438e-04	7.0313e-03	4.4357e+01	2.1518e+01	1.0000e+00	0.0000e+00
4.6875e-04	7.0313e-03	4.4361e+01	2.1555e+01	1.0000e+00	0.0000e+00
7.0313e-04	7.0313e-03	4.4363e+01	2.1511e+01	0.0000e+00	0.0000e+00
9.3750e-04	7.0313e-03	4.4386e+01	2.1592e+01	0.0000e+00	0.0000e+00
1.1719e-03	7.0313e-03	4.4428e+01	2.1779e+01	0.0000e+00	0.0000e+00
1.4063e-03	7.0313e-03	4.4447e+01	2.1668e+01	0.0000e+00	0.0000e+00
1.6406e-03	7.0313e-03	4.4315e+01	2.1611e+01	0.0000e+00	0.0000e+00
1.8750e-03	7.0313e-03	4.4363e+01	2.1643e+01	0.0000e+00	0.0000e+00
2.1094e-03	7.0313e-03	4.4429e+01	2.1655e+01	0.0000e+00	0.0000e+00
2.3438e-03	7.0313e-03	4.4243e+01	2.1700e+01	1.0000e+00	0.0000e+00
2.5781e-03	7.0313e-03	4.3996e+01	2.1708e+01	1.0000e+00	0.0000e+00
2.8125e-03	7.0313e-03	4.3369e+01	2.1679e+01	1.0000e+00	0.0000e+00
3.0469e-03	7.0313e-03	4.2277e+01	2.1649e+01	1.0000e+00	0.0000e+00
3.2813e-03	7.0313e-03	4.0815e+01	2.1586e+01	1.0000e+00	0.0000e+00
3.5156e-03	7.0313e-03	3.9078e+01	2.1537e+01	1.0000e+00	0.0000e+00
3.7500e-03	7.0313e-03	3.6580e+01	2.1635e+01	0.0000e+00	0.0000e+00
3.9844e-03	7.0313e-03	3.5069e+01	2.1405e+01	0.0000e+00	0.0000e+00
4.2188e-03	7.0313e-03	3.3954e+01	2.1431e+01	0.0000e+00	0.0000e+00
4.4531e-03	7.0313e-03	3.2843e+01	2.1533e+01	0.0000e+00	0.0000e+00
4.6875e-03	7.0313e-03	3.1823e+01	2.1571e+01	0.0000e+00	0.0000e+00
4.9219e-03	7.0313e-03	3.1049e+01	2.1585e+01	1.0000e+00	0.0000e+00
5.1563e-03	7.0313e-03	3.0170e+01	2.1511e+01	0.0000e+00	0.0000e+00
5.3906e-03	7.0313e-03	2.9384e+01	2.1490e+01	0.0000e+00	0.0000e+00
5.6250e-03	7.0313e-03	2.8814e+01	2.1607e+01	1.0000e+00	0.0000e+00
5.8594e-03	7.0313e-03	2.8008e+01	2.1562e+01	0.0000e+00	0.0000e+00
6.0938e-03	7.0313e-03	2.7524e+01	2.1558e+01	0.0000e+00	0.0000e+00
6.3281e-03	7.0313e-03	2.6994e+01	2.1633e+01	1.0000e+00	0.0000e+00
6.5625e-03	7.0313e-03	2.6533e+01	2.1639e+01	1.0000e+00	0.0000e+00
6.7969e-03	7.0313e-03	2.5988e+01	2.1572e+01	0.0000e+00	0.0000e+00
7.0313e-03	7.0313e-03	2.5635e+01	2.1590e+01	0.0000e+00	0.0000e+00
7.2656e-03	7.0313e-03	2.5875e+01	2.1624e+01	0.0000e+00	0.0000e+00
2.3438e-04	6.7969e-03	4.4722e+01	2.1462e+01	0.0000e+00	0.0000e+00
4.6875e-04	6.7969e-03	4.4205e+01	2.1527e+01	0.0000e+00	0.0000e+00
7.0313e-04	6.7969e-03	4.4425e+01	2.1389e+01	0.0000e+00	0.0000e+00
9.3750e-04	6.7969e-03	4.4321e+01	2.1550e+01	0.0000e+00	0.0000e+00
1.1719e-03	6.7969e-03	4.4382e+01	2.1597e+01	1.0000e+00	0.0000e+00
1.4063e-03	6.7969e-03	4.4461e+01	2.1679e+01	0.0000e+00	0.0000e+00
1.6406e-03	6.7969e-03	4.4393e+01	2.1622e+01	1.0000e+00	0.0000e+00
1.8750e-03	6.7969e-03	4.4365e+01	2.1610e+01	0.0000e+00	0.0000e+00
2.1094e-03	6.7969e-03	4.4356e+01	2.1633e+01	1.0000e+00	0.0000e+00
2.3438e-03	6.7969e-03	4.4450e+01	2.1623e+01	0.0000e+00	0.0000e+00
2.5781e-03	6.7969e-03	4.4353e+01	2.1740e+01	0.0000e+00	0.0000e+00
2.8125e-03	6.7969e-03	4.4098e+01	2.1609e+01	0.0000e+00	0.0000e+00
3.0469e-03	6.7969e-03	4.3433e+01	2.1321e+01	0.0000e+00	0.0000e+00
3.2813e-03	6.7969e-03	4.1055e+01	2.1286e+01	0.0000e+00	0.0000e+00
3.5156e-03	6.7969e-03	3.9047e+01	2.1513e+01	1.0000e+00	0.0000e+00
3.7500e-03	6.7969e-03	3.7202e+01	2.1497e+01	1.0000e+00	0.0000e+00
3.9844e-03	6.7969e-03	3.5147e+01	2.1411e+01	0.0000e+00	0.0000e+00
4.2188e-03	6.7969e-03	3.3960e+01	2.1512e+01	0.0000e+00	0.0000e+00
4.4531e-03	6.7969e-03	3.2934e+01	2.1557e+01	1.0000e+00	0.0000e+00
