# x	y	u	v	flags	mask
2.3438e-04	7.2656e-03	4.4942e+01	2.2019e+01	1.0000e+00	0.0000e+00
4.6875e-04	7.2656e-03	4.4828e+01	2.1957e+01	1.0000e+00	0.0000e+00
7.0313e-04	7.2656e-03	4.5214e+01	2.2729e+01	0.0000e+00	0.0000e+00
9.3750e-04	7.2656e-03	4.4459e+01	2.1968e+01	0.0000e+00	0.0000e+00
1.1719e-03	7.2656e-03	4.4453e+01	2.1897e+01	0.0000e+00	0.0000e+00
1.4063e-03	7.2656e-03	4.4464e+01	2.1601e+01	1.0000e+00	0.0000e+00
1.6406e-03	7.2656e-03	4.4613e+01	2.1539e+01	0.0000e+00	0.0000e+00
1.8750e-03	7.2656e-03	4.4241e+01	2.1588e+01	1.0000e+00	0.0000e+00
2.1094e-03	7.2656e-03	4.4475e+01	2.1765e+01	0.0000e+00	0.0000e+00
2.3438e-03	7.2656e-03	4.3609e+01	2.2033e+01	0.0000e+00	0.0000e+00
2.5781e-03	7.2656e-03	4.0591e+01	2.1846e+01	1.0000e+00	0.0000e+00
2.8125e-03	7.2656e-03	4.3399e+01	2.1273e+01	0.0000e+00	0.0000e+00
3.0469e-03	7.2656e-03	3.3338e+01	2.2295e+01	0.0000e+00	0.0000e+00
3.2813e-03	7.2656e-03	1.9268e+01	2.3117e+01	0.0000e+00	0.0000e+00
3.5156e-03	7.2656e-03	2.1063e+01	2.2115e+01	1.0000e+00	0.0000e+00
3.7500e-03	7.2656e-03	1.4786e+01	2.1559e+01	0.0000e+00	0.0000e+00
3.9844e-03	7.2656e-03	1.4730e+01	2.1540e+01	0.0000e+00	0.0000e+00
4.2188e-03	7.2656e-03	1.4804e+01	2.1701e+01	1.0000e+00	0.0000e+00
4.4531e-03	7.2656e-03	1.4744e+01	2.1684e+01	1.0000e+00	0.0000e+00
4.6875e-03	7.2656e-03	1.4402e+01	2.2218e+01	0.0000e+00	0.0000e+00
4.9219e-03	7.2656e-03	1.4589e+01	2.1652e+01	0.0000e+00	0.0000e+00
5.1563e-03	7.2656e-03	1.4737e+01	2.1677e+01	1.0000e+00	0.0000e+00
5.3906e-03	7.2656e-03	1.4787e+01	2.1651e+01	1.0000e+00	0.0000e+00
5.6250e-03	7.2656e-03	1.5263e+01	2.1850e+01	0.0000e+00	0.0000e+00
5.8594e-03	7.2656e-03	1.5052e+01	2.1702e+01	0.0000e+00	0.0000e+00
6.0938e-03	7.2656e-03	1.4962e+01	2.1739e+01	0.0000e+00	0.0000e+00
6.3281e-03	7.2656e-03	1.4878e+01	2.1811e+01	0.0000e+00	0.0000e+00
6.5625e-03	7.2656e-03	1.4918e+01	2.1641e+01	1.0000e+00	0.0000e+00
6.7969e-03	7.2656e-03	1.4892e+01	2.1699e+01	0.0000e+00	0.0000e+00
7.0313e-03	7.2656e-03	1.5093e+01	2.2095e+01	0.0000e+00	0.0000e+00
7.2656e-03	7.2656e-03	1.4955e+01	2.1634e+01	1.0000e+00	0.0000e+00
2.3438e-04	7.0313e-03	4.5345e+01	2.2157e+01	0.0000e+00	0.0000e+00
4.6875e-04	7.0313e-03	4.4574e+01	2.1700e+01	0.0000e+00	0.0000e+00
